name	uci
King's Pawn Game: Clam Variation, Radisch Gambit	e2e4 e7e5 d2d3 g8f6 f2f4 f8c5
King's Pawn Game: King's Head Opening	e2e4 e7e5 f2f3
King's Pawn Game: King's Head Opening	e2e4 e7e5 f2f3 g8f6 b1c3
King's Pawn Game: Leonardis Variation	e2e4 e7e5 d2d3
King's Pawn Game: MacLeod Attack	e2e4 e7e5 c2c3
King's Pawn Game: MacLeod Attack, Lasa Gambit	e2e4 e7e5 c2c3 f7f5
King's Pawn Game: MacLeod Attack, Norwalde Gambit	e2e4 e7e5 c2c3 d7d5 d1h5 f8d6
King's Pawn Game: Mengarini's Opening	e2e4 e7e5 a2a3
King's Pawn Game: Napoleon Attack	e2e4 e7e5 d1f3
King's Pawn Game: Philidor Gambit	e2e4 e7e5 d2d4 d7d6 d4e5 c8d7
King's Pawn Game: Tortoise Opening	e2e4 e7e5 f1d3
King's Pawn Game: Wayward Queen Attack	e2e4 e7e5 d1h5
King's Pawn Game: Wayward Queen Attack, Kiddie Countergambit	e2e4 e7e5 d1h5 g8f6
King's Pawn Game: Wayward Queen Attack, Mellon Gambit	e2e4 e7e5 d1h5 b8c6 f1c4 g8h6 d2d3 g7g6 h5f3 f7f6 g1e2 d7d5
King's Pawn Game: Weber Gambit	e2e4 e7e5 d2d3 d7d5 e4d5 c7c6 d5c6 b8c6
King's Pawn Opening	e2e4 e7e5 b2b3
King's Pawn Opening: Speers	e2e4 e7e5 d1g4 g8f6 g4f5
King's Pawn Opening: Van Hooydoon Gambit	e2e4 e7e5 d1e2 b8c6 c2c3 g8f6 g1f3 f8c5 d2d4 e5d4 c3d4 c6d4
Portuguese Opening	e2e4 e7e5 f1b5
Portuguese Opening: Miguel Gambit	e2e4 e7e5 f1b5 f8c5 b2b4
Portuguese Opening: Portuguese Gambit	e2e4 e7e5 f1b5 g8f6 d2d4
Center Game	e2e4 e7e5 d2d4 e5d4 d1d4
Center Game Accepted	e2e4 e7e5 d2d4 e5d4
Center Game: Halasz-McDonnell Gambit	e2e4 e7e5 d2d4 e5d4 f2f4
Center Game: Halasz-McDonnell Gambit, Crocodile Variation	e2e4 e7e5 d2d4 e5d4 f2f4 f8c5 g1f3 b8c6 c2c3
Center Game: Kieseritzky Variation	e2e4 e7e5 d2d4 e5d4 g1f3
Center Game: Kieseritzky Variation	e2e4 e7e5 d2d4 e5d4 g1f3 c7c5
Center Game: Kieseritzky Variation	e2e4 e7e5 d2d4 e5d4 g1f3 c7c5 f1c4
Center Game: Kieseritzky Variation	e2e4 e7e5 d2d4 e5d4 g1f3 c7c5 f1c4 b7b5
Center Game: Lanc-Arnold Gambit	e2e4 e7e5 d2d4 e5d4 g1f3 f8c5 c2c3
Center Game: Lanc-Arnold Gambit, Schippler Gambit	e2e4 e7e5 d2d4 e5d4 g1f3 f8c5 c2c3 d4c3 f1c4
Center Game: Ross Gambit	e2e4 e7e5 d2d4 e5d4 f1d3
Center Game: von der Lasa Gambit	e2e4 e7e5 d2d4 e5d4 f1c4
Danish Gambit	e2e4 e7e5 d2d4 e5d4 c2c3
Danish Gambit Accepted	e2e4 e7e5 d2d4 e5d4 c2c3 d4c3 f1c4 c3b2 c1b2
Danish Gambit Accepted: Chigorin Defense	e2e4 e7e5 d2d4 e5d4 c2c3 d4c3 f1c4 c3b2 c1b2 d8e7
Danish Gambit Accepted: Classical Defense	e2e4 e7e5 d2d4 e5d4 c2c3 d4c3 f1c4 c3b2 c1b2 g8f6
Danish Gambit Accepted: Copenhagen Defense	e2e4 e7e5 d2d4 e5d4 c2c3 d4c3 f1c4 c3b2 c1b2 f8b4
Danish Gambit Accepted: Schlechter Defense	e2e4 e7e5 d2d4 e5d4 c2c3 d4c3 f1c4 c3b2 c1b2 d7d5
Danish Gambit Accepted: Svenonius Defense	e2e4 e7e5 d2d4 e5d4 c2c3 g8e7
Danish Gambit Declined: Sorensen Defense	e2e4 e7e5 d2d4 e5d4 c2c3 d7d5
Center Game: Berger Variation	e2e4 e7e5 d2d4 e5d4 d1d4 b8c6 d4e3 g8f6
