name	uci
Queen's Gambit Declined: Austrian Defense, Gusev Countergambit	d2d4 d7d5 c2c4 c7c5 c4d5 g8f6
Queen's Gambit Declined: Austrian Defense, Haberditz Variation	d2d4 d7d5 c2c4 c7c5 c4d5 g8f6 e2e4 f6e4 d4c5 d8a5
Queen's Gambit Declined: Baltic Defense	d2d4 d7d5 c2c4 c8f5
Queen's Gambit Declined: Baltic Defense, Argentinian Gambit	d2d4 d7d5 c2c4 c8f5 c4d5 f5b1 d1a4 c7c6 d5c6 b8c6
Queen's Gambit Declined: Baltic Defense, Pseudo-Chigorin	d2d4 d7d5 c2c4 c8f5 b1c3 e7e6 g1f3 b8c6
Queen's Gambit Declined: Baltic Defense, Queen Attack	d2d4 d7d5 c2c4 c8f5 d1b3
Queen's Gambit Declined: Baltic Defense, Queen Attack Deferred	d2d4 d7d5 c2c4 c8f5 b1c3 e7e6 d1b3
Queen's Gambit Declined: Marshall Defense	d2d4 d7d5 c2c4 g8f6
Queen's Gambit Declined: Marshall Defense, Tan Gambit	d2d4 d7d5 c2c4 g8f6 c4d5 c7c6
Queen's Gambit Declined: Zilbermints Gambit	d2d4 d7d5 c2c4 b7b5
Queen's Gambit Declined: Chigorin Defense	d2d4 d7d5 c2c4 b8c6
Queen's Gambit Declined: Chigorin Defense	d2d4 d7d5 c2c4 b8c6 b1c3
Queen's Gambit Declined: Chigorin Defense	d2d4 d7d5 c2c4 b8c6 b1c3 d5c4
Queen's Gambit Declined: Chigorin Defense, Exchange Variation	d2d4 d7d5 c2c4 b8c6 c4d5 d8d5
Queen's Gambit Declined: Chigorin Defense, Exchange Variation, Costa's Line	d2d4 d7d5 c2c4 b8c6 c4d5 d8d5 e2e3 e7e5 b1c3 f8b4 c1d2 b4c3 d2c3 e5d4 g1e2
Queen's Gambit Declined: Chigorin Defense, Janowski Variation	d2d4 d7d5 c2c4 b8c6 b1c3 d5c4 g1f3
Queen's Gambit Declined: Chigorin Defense, Lazard Gambit	d2d4 d7d5 c2c4 b8c6 g1f3 e7e5
Queen's Gambit Declined: Chigorin Defense, Main Line	d2d4 d7d5 c2c4 b8c6 g1f3 c8g4
Queen's Gambit Declined: Chigorin Defense, Main Line, Alekhine Variation	d2d4 d7d5 c2c4 b8c6 g1f3 c8g4 d1a4
Queen's Gambit Declined: Chigorin Defense, Modern Gambit	d2d4 d7d5 c2c4 b8c6 b1c3 d5c4 g1f3 g8f6
Queen's Gambit Declined: Chigorin Defense, Tartakower Gambit	d2d4 d7d5 c2c4 b8c6 b1c3 e7e5
Queen's Gambit Declined: Albin Countergambit	d2d4 d7d5 c2c4 e7e5
Queen's Gambit Declined: Albin Countergambit, Balogh Variation	d2d4 d7d5 c2c4 e7e5 d4e5 d5d4 g1f3 b8c6 b1d2 d8e7
Queen's Gambit Declined: Albin Countergambit, Janowski Variation	d2d4 d7d5 c2c4 e7e5 d4e5 d5d4 g1f3 b8c6 b1d2 f7f6
Queen's Gambit Declined: Albin Countergambit, Krenosz Variation	d2d4 d7d5 c2c4 e7e5 d4e5 d5d4 g1f3 b8c6 b1d2 c8g4 h2h3 g4f3 d2f3 f8b4 c1d2 d8e7
Queen's Gambit Declined: Albin Countergambit, Lasker Trap	d2d4 d7d5 c2c4 e7e5 d4e5 d5d4 e2e3 f8b4 c1d2 d4e3
Queen's Gambit Declined: Albin Countergambit, Modern Line	d2d4 d7d5 c2c4 e7e5 d4e5 d5d4 g1f3 b8c6 b1d2
Queen's Gambit Declined: Albin Countergambit, Normal Line	d2d4 d7d5 c2c4 e7e5 d4e5 d5d4 g1f3
Queen's Gambit Declined: Albin Countergambit, Tartakower Defense	d2d4 d7d5 c2c4 e7e5 d4e5 d5d4 g1f3 c7c5
Queen's Gambit Declined: Albin Countergambit, Fianchetto Variation	d2d4 d7d5 c2c4 e7e5 d4e5 d5d4 g1f3 b8c6 g2g3
Queen's Gambit Declined: Albin Countergambit, Fianchetto Variation, Be6 Line	d2d4 d7d5 c2c4 e7e5 d4e5 d5d4 g1f3 b8c6 g2g3 c8e6
Queen's Gambit Declined: Albin Countergambit, Fianchetto Variation, Bf5 Line	d2d4 d7d5 c2c4 e7e5 d4e5 d5d4 g1f3 b8c6 g2g3 c8f5
Queen's Gambit Declined: Albin Countergambit, Fianchetto Variation, Bg4 Line	d2d4 d7d5 c2c4 e7e5 d4e5 d5d4 g1f3 b8c6 g2g3 c8g4
Slav Defense	d2d4 d7d5 c2c4 c7c6
Slav Defense	d2d4 d7d5 c2c4 c7c6 b1c3
Slav Defense	d2d4 d7d5 c2c4 c7c6 b1c3 d5c4
Slav Defense: Diemer Gambit	d2d4 d7d5 c2c4 c7c6 e2e4
Slav Defense: Exchange Variation	d2d4 d7d5 c2c4 c7c6 c4d5
Slav Defense: Exchange Variation, Boor Attack	d2d4 d7d5 c2c4 c7c6 c4d5 c6d5 b1c3 g8f6 f2f3
Slav Defense: Slav Gambit, Alekhine Attack	d2d4 d7d5 c2c4 c7c6 b1c3 d5c4 e2e4
Slav Defense: Winawer Countergambit	d2d4 d7d5 c2c4 c7c6 b1c3 e7e5
Slav Defense: Winawer Countergambit, Anti-Winawer Gambit	d2d4 d7d5 c2c4 c7c6 b1c3 e7e5 e2e4
Slav Defense: Bonet Gambit	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 c1g5
Slav Defense: Breyer Variation	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1d2
Slav Defense: Modern Line	d2d4 d7d5 c2c4 c7c6 g1f3
Slav Defense: Quiet Variation	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 e2e3
Slav Defense: Quiet Variation, Pin Defense	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 e2e3 c8g4
Slav Defense: Quiet Variation, Amsterdam Variation	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 e2e3 c8f5 c4d5 c6d5 b1c3 e7e6 f3e5 f6d7
Slav Defense: Quiet Variation, Landau Variation	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 e2e3 c8f5 c4d5 c6d5 d1b3 d8c8 c1d2 e7e6 b1a3
Slav Defense: Quiet Variation, Schallopp Defense	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 e2e3 c8f5
Slav Defense: Exchange Variation	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 c4d5 c6d5
Slav Defense: Exchange Variation, Schallopp Variation	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 e2e3 c8f5 c4d5 c6d5 b1c3
Slav Defense: Exchange Variation, Symmetrical Line	d2d4 d7d5 c2c4 c7c6 c4d5 c6d5 b1c3 g8f6 g1f3 b8c6 c1f4 c8f5
Slav Defense: Exchange Variation, Trifunovic Variation	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 c4d5 c6d5 b1c3 b8c6 c1f4 c8f5 e2e3 e7e6 d1b3 f8b4
Slav Defense: Alekhine Variation	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 e2e3
Slav Defense: Chameleon Variation	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 a7a6
Slav Defense: Chameleon Variation, Advance System	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 a7a6 c4c5
Slav Defense: Geller Gambit	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 e2e4
Slav Defense: Geller Gambit	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 e2e4 b7b5 e4e5
Slav Defense: Schlechter Variation	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 g7g6
Slav Defense: Süchting Variation	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d8b6
Slav Defense: Three Knights Variation	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3
Slav Defense: Two Knights Attack	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4
Slav Defense: Alapin Variation	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4
Slav Defense: Smyslov Variation	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 b8a6
Slav Defense: Soultanbeieff Variation	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 e7e6
Slav Defense: Steiner Variation	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8g4
Slav Defense: Czech Variation	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8f5
Slav Defense: Czech Variation, Bled Attack	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8f5 f3h4
Slav Defense: Czech Variation, Carlsbad Variation	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8f5 f3e5 b8d7 e5c4 d8c7 g2g3 e7e5
Slav Defense: Czech Variation, Carlsbad Variation, Morozevich Variation	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8f5 f3e5 b8d7 e5c4 d8c7 g2g3 e7e5 d4e5 d7e5 c1f4 f6d7 f1g2 g7g5
Slav Defense: Czech Variation, Krause Attack	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8f5 f3e5
