name	uci
Alekhine Defense: Modern Variation, Main Line	e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3 c8g4
Alekhine Defense: Modern Variation, Panov Variation	e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3 c8g4 h2h3
Alekhine Defense: Modern Variation, Vitolins Attack	e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3 c8g4 c2c4 d5b6 d4d5
Modern Defense	e2e4 g7g6
Modern Defense	e2e4 g7g6 d2d4 f8g7
Modern Defense: Anti-Modern	e2e4 g7g6 d2d4 f8g7 b1c3 c7c6 f1c4 d7d6 d1e2
Modern Defense: Bishop Attack	e2e4 g7g6 d2d4 f8g7 f1c4
Modern Defense: Bishop Attack, Bücker Gambit	e2e4 g7g6 d2d4 f8g7 f1c4 b7b5
Modern Defense: Bishop Attack, Monkey's Bum	e2e4 g7g6 f1c4 f8g7 d1f3 e7e6 d2d4 g7d4
Modern Defense: Dunworthy Variation	e2e4 g7g6 d2d4 f8g7 c2c4 d7d5 e4d5 c7c6 d5c6 g7d4
Modern Defense: Fianchetto Gambit	e2e4 g7g6 d2d4 f7f5
Modern Defense: Gurgenidze Defense	e2e4 g7g6 d2d4 f8g7 b1c3 c7c6 f2f4 d7d5 e4e5 h7h5
Modern Defense: Lizard Defense, Mittenberger Gambit	e2e4 g7g6 d2d4 f8g7 b1c3 d7d5
Modern Defense: Masur Gambit	e2e4 g7g6 d2d4 g8h6 b1c3 f7f5 c1h6 f8h6 e4f5 e8g8
Modern Defense: Modern Pterodactyl	e2e4 g7g6 d2d4 f8g7 b1c3 c7c5
Modern Defense: Mongredien Defense, with Nc3	e2e4 g7g6 d2d4 f8g7 b1c3 b7b6
Modern Defense: Mongredien Defense, with Nf3	e2e4 g7g6 d2d4 f8g7 g1f3 b7b6
Modern Defense: Norwegian Defense	e2e4 g7g6 d2d4 g8f6
Modern Defense: Norwegian Defense, Norwegian Gambit	e2e4 g7g6 d2d4 g8f6 e4e5 f6h5 f1e2 d7d6
Modern Defense: Pseudo-Austrian Attack	e2e4 g7g6 d2d4 f8g7 b1c3 d7d6 f2f4
Modern Defense: Semi-Averbakh Variation, Pterodactyl Variation Declined	e2e4 g7g6 d2d4 f8g7 c2c4 c7c5 g1f3 d7d6 f1e2 d8a5
Modern Defense: Standard Defense	e2e4 g7g6 d2d4 f8g7 b1c3 d7d6
Modern Defense: Standard Line	e2e4 g7g6 d2d4 f8g7 b1c3
Modern Defense: Three Pawns Attack	e2e4 g7g6 d2d4 f8g7 f2f4
Modern Defense: Two Knights Variation	e2e4 g7g6 d2d4 f8g7 b1c3 d7d6 g1f3
Modern Defense: Two Knights Variation, Suttles Variation	e2e4 g7g6 d2d4 f8g7 b1c3 c7c6 g1f3 d7d6
Modern Defense: Two Knights Variation, Suttles Variation, Tal Gambit	e2e4 g7g6 d2d4 f8g7 b1c3 d7d6 g1f3 c7c6 c1g5 d8b6 d1d2 b6b2
Modern Defense: Westermann Gambit	e2e4 g7g6 d2d4 f8g7 c1d2
Modern Defense: Wind Gambit	e2e4 g7g6 d2d4 f8g7 f1d3
Norwegian Defense	e2e4 g7g6 d2d4 g8f6 e4e5 f6h5 g2g4 h5g7
Pterodactyl Defense: Austrian, Austriadactylus Western	e2e4 g7g6 d2d4 f8g7 f2f4 c7c5 g1f3 d8a5
Pterodactyl Defense: Austrian, Grand Prix Pterodactyl	e2e4 g7g6 b1c3 f8g7 f2f4 c7c5 g1f3 d8a5
Pterodactyl Defense: Austrian, Pteranodon	e2e4 g7g6 d2d4 f8g7 f2f4 c7c5 c2c3 d8a5
Pterodactyl Defense: Central, Anhanguera	e2e4 g7g6 d2d4 f8g7 c2c4 c7c5 b1c3 d7d6 c1e3 d8a5
Pterodactyl Defense: Central, Benoni Quetzalcoatlus	e2e4 g7g6 d2d4 f8g7 c2c4 c7c5 d4d5 d7d6 b1c3 d8a5
Pterodactyl Defense: Central, Quetzalcoatlus Gambit	e2e4 g7g6 d2d4 f8g7 c2c4 c7c5 b1c3 d7d6 d4c5 d8a5
Pterodactyl Defense: Eastern, Anhanguera	e2e4 g7g6 d2d4 f8g7 b1c3 c7c5 c1e3
Pterodactyl Defense: Eastern, Benoni	d2d4 g7g6 e2e4 f8g7 b1c3 c7c5 d4d5
Pterodactyl Defense: Eastern, Benoni Pteranodon	e2e4 g7g6 d2d4 f8g7 b1c3 c7c5 d4d5 g7c3 b2c3 d8a5
Pterodactyl Defense: Eastern, Benoni Pterodactyl	d2d4 g7g6 b1c3 f8g7 e2e4 c7c5 d4d5 d8a5
Pterodactyl Defense: Eastern, Pteranodon	e2e4 g7g6 d2d4 f8g7 b1c3 c7c5 d4c5 g7c3 b2c3 d8a5
Pterodactyl Defense: Eastern, Pterodactyl	e2e4 g7g6 d2d4 f8g7 b1c3 c7c5 d4c5 d8a5
Pterodactyl Defense: Eastern, Rhamphorhynchus	e2e4 g7g6 d2d4 f8g7 b1c3 c7c5 d4c5
Pterodactyl Defense: Fianchetto, King Pterodactyl	e2e4 g7g6 d2d4 f8g7 g2g3 c7c5 g1f3 d8a5
Pterodactyl Defense: Fianchetto, Rhamphorhynchus	e2e4 g7g6 d2d4 f8g7 g2g3 c7c5 d4c5 d8a5
Pterodactyl Defense: Sicilian, Quetzalcoatlus	e2e4 g7g6 d2d4 f8g7 b1c3 c7c5 g1f3 d8a5 f1e2 d7d6
